name,impact,products
Monsoon Season,+30%,Umbrellas;Raincoats;Boots
Festival Season,+45%,Sweets;Decorations;Clothes
Back to School,+60%,Stationery;Bags;Laptops
Holiday Sale,+25%,Electronics;Accessories
Summer Festival,+35%,Sunglasses;Swimwear
Winter Sale,+40%,Coats;Scarves;Gloves
Diwali,+50%,Lamps;Candles;Sweets
Christmas,+55%,Toys;Decorations;Gifts
New Year,+30%,Party Supplies;Alcohol
Easter,+20%,Chocolates;Baskets
Ramadan,+45%,Dates;Clothes
Holi,+35%,Colors;Water Guns
Independence Day,+25%,Flags;Patriotic Gear
Black Friday,+60%,Electronics;Appliances
Cyber Monday,+50%,Tech;Gadgets
Valentine’s Day,+40%,Flowers;Jewelry
Halloween,+30%,Costumes;Decor
Spring Cleaning,+20%,Cleaning Supplies
Sports Season,+35%,Sports Gear;Apparel
Travel Season,+45%,Bags;Travel Gear
